classifier,dataset,cv-procedure,p,Lustgarten,Nogueira,Jaccard,#features_mean,#features_min,#features_max,acc_train,acc_test,execution_time
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,10)",10,0.2358,0.1846,0.1042,6.2333,1,13,0.961,0.6611,0.385
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,12)",12,0.2175,0.172,0.0981,6.2593,2,11,0.9715,0.6373,0.3628
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,14)",14,0.2492,0.2081,0.1246,6.9167,2,12,0.9667,0.6667,0.3636
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,16)",16,0.2348,0.1597,0.0887,6.5714,2,15,0.9576,0.6488,0.3635
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,18)",18,0.133,0.0867,0.0498,6.6111,1,16,0.9578,0.6644,0.3663
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Prostate,"trains-p-diff(100,20)",20,0.2577,0.1749,0.1081,5.7222,2,12,0.9622,0.6829,0.3684
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,1)",1,0.4979,0.4722,0.3371,52.0333,29,71,0.9914,0.8594,0.7995
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,2)",2,0.3492,0.3236,0.2024,58.1333,29,82,0.9928,0.8493,0.7939
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,3)",3,0.3029,0.2842,0.1698,57.9333,34,82,0.9908,0.8522,0.7921
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,4)",4,0.2899,0.2664,0.1571,57.0333,32,83,0.9914,0.8522,0.7895
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,5)",5,0.2621,0.2455,0.1423,58.3667,35,82,0.9894,0.8319,0.7906
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,6)",6,0.2491,0.2295,0.1321,58.9667,37,87,0.9892,0.829,0.7908
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,7)",7,0.2414,0.2216,0.127,60.7667,36,84,0.9894,0.8333,0.7911
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,8)",8,0.2378,0.2233,0.1285,61.3333,39,79,0.9908,0.8232,0.7878
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,9)",9,0.2406,0.2106,0.1189,56.3667,27,80,0.9908,0.8478,0.7914
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,10)",10,0.2453,0.2225,0.1271,58.6,33,86,0.9869,0.8522,0.7903
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,12)",12,0.2083,0.1882,0.1054,56.7,40,79,0.9906,0.8551,0.7969
"1_RF_t6e-3 (RandomForestClassifier(min_samples_leaf=2, random_state=0))",Renal,"trains-p-diff(120,14)",14,0.2122,0.1854,0.1034,54.4815,39,78,0.9867,0.8663,0.7957
